HDFC top 100 fund (Growth) SIP Calculation for 3 Years,,,,,
Assuming Investment of Rs 10000 on the first trading day of every month,,,,,
Date,Close,Amount Invested,Shares bought (Assuming partial buying is allowed),,Value of shares bought on 29 March 2023 (SIP returns of last 3 years)
24-02-2022,643.002014,0,0,,
25-02-2022,660.208984,0,0,,
28-02-2022,666.60498,0,0,,
02-03-2022,662.036011,10000,15.10491851,,
03-03-2022,660.192993,0,0,,
04-03-2022,651.580017,0,0,,
07-03-2022,638.817993,0,0,,
08-03-2022,645.463989,0,0,,
09-03-2022,655.461975,0,0,,
10-03-2022,662.523987,0,0,,
11-03-2022,665.815002,0,0,,
14-03-2022,672.710022,0,0,,
15-03-2022,664.585999,0,0,,
16-03-2022,676.445984,0,0,,
17-03-2022,686.505981,0,0,,
21-03-2022,681.565979,0,0,,
22-03-2022,688.588013,0,0,,
23-03-2022,686.140015,0,0,,
24-03-2022,686.726013,0,0,,
25-03-2022,684.192017,0,0,,
28-03-2022,686.984985,0,0,,
29-03-2022,689.432007,0,0,,
30-03-2022,694.44397,0,0,,
31-03-2022,693.969971,0,0,,
01-04-2022,705.112976,10000,14.18212448,,
04-04-2022,719.640991,0,0,,
05-04-2022,718.015991,0,0,,
06-04-2022,716.440979,0,0,,
07-04-2022,711.846985,0,0,,
08-04-2022,717.281006,0,0,,
11-04-2022,714.627014,0,0,,
12-04-2022,707.440002,0,0,,
13-04-2022,707.031006,0,0,,
18-04-2022,699.151978,0,0,,
19-04-2022,693.288025,0,0,,
20-04-2022,698.75,0,0,,
21-04-2022,708.281006,0,0,,
22-04-2022,698.901978,0,0,,
25-04-2022,686.458984,0,0,,
26-04-2022,695.304016,0,0,,
27-04-2022,688.690979,0,0,,
28-04-2022,697.01001,0,0,,
29-04-2022,688.771973,0,0,,
02-05-2022,688.544983,10000,14.52337937,,
04-05-2022,675.617004,0,0,,
05-05-2022,676.25,0,0,,
06-05-2022,668.809998,0,0,,
09-05-2022,664.30603,0,0,,
10-05-2022,658.692017,0,0,,
11-05-2022,655.387024,0,0,,
12-05-2022,642.97998,0,0,,
13-05-2022,639.919983,0,0,,
16-05-2022,643.094971,0,0,,
17-05-2022,659.35199,0,0,,
18-05-2022,656.742981,0,0,,
19-05-2022,642.237,0,0,,
20-05-2022,659.075012,0,0,,
23-05-2022,657.260986,0,0,,
24-05-2022,653.856995,0,0,,
25-05-2022,651.88501,0,0,,
26-05-2022,658.898987,0,0,,
27-05-2022,663.778015,0,0,,
30-05-2022,675.60498,0,0,,
31-05-2022,675.594971,0,0,,
01-06-2022,675.197021,10000,14.81049188,,
02-06-2022,679.343018,0,0,,
03-06-2022,676.823975,0,0,,
06-06-2022,675.187988,0,0,,
07-06-2022,671.736023,0,0,,
08-06-2022,669.872986,0,0,,
09-06-2022,674.684998,0,0,,
10-06-2022,666.138977,0,0,,
13-06-2022,648.031982,0,0,,
14-06-2022,646.80603,0,0,,
15-06-2022,644.541992,0,0,,
16-06-2022,630.72998,0,0,,
17-06-2022,628.104004,0,0,,
20-06-2022,626.635986,0,0,,
21-06-2022,640.494019,0,0,,
22-06-2022,632.109009,0,0,,
23-06-2022,636.664001,0,0,,
24-06-2022,641.445007,0,0,,
27-06-2022,648.237976,0,0,,
28-06-2022,650.487,0,0,,
29-06-2022,649.98999,0,0,,
30-06-2022,649.750977,0,0,,
01-07-2022,648.763,10000,15.41394932,,
04-07-2022,652.869995,0,0,,
05-07-2022,651.562988,0,0,,
06-07-2022,656.325989,0,0,,
07-07-2022,663.09198,0,0,,
08-07-2022,668.04303,0,0,,
11-07-2022,668.439026,0,0,,
12-07-2022,663.093018,0,0,,
13-07-2022,659.364014,0,0,,
14-07-2022,657.552979,0,0,,
15-07-2022,661.112976,0,0,,
18-07-2022,669.744995,0,0,,
